"Date","PrevHoldings","PrevHoldings_Pct","PrevCash","TodayClosingHoldings","TodayClosingCash"
"2020-01-02","0.00","0.00","10000000.00","9921341.39","0.00"
"2020-01-03","9999932.64","1.00","0.00","9794550.25","0.00"
"2020-01-06","9920944.79","0.99","0.00","9751417.69","0.00"
"2020-01-07","9794836.25","0.98","0.00","9711752.67","0.00"
"2020-01-08","9751935.63","0.98","0.00","9825164.59","0.00"
"2020-01-09","9711529.89","0.97","0.00","9829519.68","0.00"
"2020-01-10","9824768.63","0.98","0.00","9916769.79","0.00"
"2020-01-13","9829520.81","0.98","0.00","10007377.99","0.00"
"2020-01-14","9916467.95","0.99","0.00","9938078.43","0.00"
"2020-01-15","10008121.37","1.00","0.00","9939141.52","0.00"
"2020-01-16","9938198.33","0.99","0.00","9962568.26","0.00"
"2020-01-17","9939270.83","0.99","0.00","10004676.11","0.00"
"2020-01-20","9963135.18","1.00","0.00","10004318.95","0.00"
"2020-01-21","10004318.95","1.00","0.00","10004156.77","0.00"
"2020-01-22","10004156.77","1.00","0.00","10004111.27","0.00"
"2020-01-23","10004111.27","1.00","0.00","10003888.42","0.00"
"2020-01-24","10003888.42","1.00","0.00","10004534.39","0.00"
"2020-01-27","10004534.39","1.00","0.00","10004522.67","0.00"
"2020-01-28","10004522.67","1.00","0.00","10004394.66","0.00"
"2020-01-29","10004394.66","1.00","0.00","9246599.07","0.00"
"2020-01-30","10004814.90","1.00","0.00","9232494.53","0.00"
"2020-01-31","9246629.76","0.92","0.00","9084228.86","0.00"
"2020-02-03","9232599.62","0.92","0.00","9215609.74","0.00"
"2020-02-04","9084527.63","0.91","0.00","9244300.67","0.00"
"2020-02-05","9215567.12","0.92","0.00","9457385.02","0.00"
"2020-02-06","9244262.11","0.92","0.00","9289289.87","0.00"
"2020-02-07","9457081.39","0.95","0.00","9239012.06","0.00"
"2020-02-10","9289132.43","0.93","0.00","9332916.69","0.00"
"2020-02-11","9239044.06","0.92","0.00","9466901.00","0.00"
"2020-02-12","9333005.43","0.93","0.00","9452248.75","0.00"
"2020-02-13","9466865.25","0.95","0.00","9507713.90","0.00"
"2020-02-14","9452516.40","0.95","0.00","9490656.47","0.00"
"2020-02-17","9507544.93","0.95","0.00","9435524.37","0.00"
"2020-02-18","9491206.91","0.95","0.00","9495840.73","0.00"
"2020-02-19","9435754.72","0.94","0.00","9464848.97","0.00"
"2020-02-20","9496066.12","0.95","0.00","9463455.33","0.00"
"2020-02-21","9464608.74","0.95","0.00","9382002.76","0.00"
"2020-02-24","9463158.86","0.95","0.00","9333404.67","0.00"
